--- BAND SWEEP gamma2(f), idle 2-3, fs=16.667 MHz (Nyquist=8.333 MHz) ---
  f=1.000 MHz  gamma2=0.0682 
  f=1.050 MHz  gamma2=0.0249 
  f=1.100 MHz  gamma2=0.0308 
  f=1.150 MHz  gamma2=0.0066 
  f=1.200 MHz  gamma2=0.0080 
  f=1.250 MHz  gamma2=0.0244 
  f=1.300 MHz  gamma2=0.0354 
  f=1.350 MHz  gamma2=0.0200 
  f=1.400 MHz  gamma2=0.0209 
  f=1.450 MHz  gamma2=0.0143 
  f=1.500 MHz  gamma2=0.0070 
  f=1.550 MHz  gamma2=0.0494 
  f=1.600 MHz  gamma2=0.0102 
  f=1.650 MHz  gamma2=0.0678 
  f=1.700 MHz  gamma2=0.0043 
  f=1.750 MHz  gamma2=0.0010 
  f=1.800 MHz  gamma2=0.0332 
  f=1.850 MHz  gamma2=0.0775 
  f=1.900 MHz  gamma2=0.0038 
  f=1.950 MHz  gamma2=0.0525 
  f=2.000 MHz  gamma2=0.0069 
  f=2.050 MHz  gamma2=0.0132 
  f=2.100 MHz  gamma2=0.0629 
  f=2.150 MHz  gamma2=0.0125 
  f=2.200 MHz  gamma2=0.0904 
  f=2.250 MHz  gamma2=0.0867 
  f=2.300 MHz  gamma2=0.0069 
  f=2.350 MHz  gamma2=0.0291 
  f=2.400 MHz  gamma2=0.0217 
  f=2.450 MHz  gamma2=0.0077 
  f=2.500 MHz  gamma2=0.0065 
  f=2.550 MHz  gamma2=0.0183 
  f=2.600 MHz  gamma2=0.0043 
  f=2.650 MHz  gamma2=0.0163 <= 2.67 target
  f=2.700 MHz  gamma2=0.0040 
  f=2.750 MHz  gamma2=0.0080 
  f=2.800 MHz  gamma2=0.0236 
  f=2.850 MHz  gamma2=0.0893 
  f=2.900 MHz  gamma2=0.0071 
  f=2.950 MHz  gamma2=0.0084 
  f=3.000 MHz  gamma2=0.0418 
  f=3.050 MHz  gamma2=0.0057 
  f=3.100 MHz  gamma2=0.0829 
  f=3.150 MHz  gamma2=0.0227 
  f=3.200 MHz  gamma2=0.0020 
  f=3.250 MHz  gamma2=0.0412 
  f=3.300 MHz  gamma2=0.0014 
  f=3.350 MHz  gamma2=0.0011 
  f=3.400 MHz  gamma2=0.0211 
  f=3.450 MHz  gamma2=0.0166 
  f=3.500 MHz  gamma2=0.0126 
  f=3.550 MHz  gamma2=0.0006 
  f=3.600 MHz  gamma2=0.0049 
  f=3.650 MHz  gamma2=0.0076 
  f=3.700 MHz  gamma2=0.0028 
  f=3.750 MHz  gamma2=0.0251 
  f=3.800 MHz  gamma2=0.0014 
  f=3.850 MHz  gamma2=0.0108 
  f=3.900 MHz  gamma2=0.0058 
  f=3.950 MHz  gamma2=0.0011 
  f=4.000 MHz  gamma2=0.0484 
  f=4.050 MHz  gamma2=0.0136 
  f=4.100 MHz  gamma2=0.0003 
  f=4.150 MHz  gamma2=0.0339 
  f=4.200 MHz  gamma2=0.0260 
  f=4.250 MHz  gamma2=0.0151 
  f=4.300 MHz  gamma2=0.0124 
  f=4.350 MHz  gamma2=0.0043 
  f=4.400 MHz  gamma2=0.0067 
  f=4.450 MHz  gamma2=0.0165 
  f=4.500 MHz  gamma2=0.0115 
  f=4.550 MHz  gamma2=0.0214 
  f=4.600 MHz  gamma2=0.0079 
  f=4.650 MHz  gamma2=0.1225 
  f=4.700 MHz  gamma2=0.0243 
  f=4.750 MHz  gamma2=0.0097 
  f=4.800 MHz  gamma2=0.0067 
  f=4.850 MHz  gamma2=0.0214 
  f=4.900 MHz  gamma2=0.0241 
  f=4.950 MHz  gamma2=0.0011 
  f=5.000 MHz  gamma2=0.0025 
--- band-sweep peak: gamma2=0.1225 at 4.650 MHz ---
