kind,case,rows,restored,answer_correct,strength_t0,strength_t1,strength_t2,strength_t3,answer_corr,null_effect
CASE,F0_S00,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F0_S01,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F0_S02,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F0_S03,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F0_S04,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F0_S05,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F0_S06,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F0_S07,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F1_S00,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F1_S01,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F1_S02,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F1_S03,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F1_S04,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F1_S05,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F1_S06,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F1_S07,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F2_S00,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F2_S01,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F2_S02,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F2_S03,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F2_S04,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F2_S05,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F2_S06,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
CASE,F2_S07,1,1,1,1.000,1.000,1.000,1.000,1.000,0.875
SUMMARY,catalytic,24,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.875
SUMMARY,destructive_write,24,0.000,0.000,1.000,0.125,0.125,0.125,0.583,0.875
SUMMARY,random_reversible_write,24,1.000,0.000,1.000,0.000,0.000,1.000,1.000,1.000
SUMMARY,random_answer,24,1.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000
SUMMARY,shuffled_schedule,24,0.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000
SUMMARY,same_final_hash_wrong_answer,24,1.000,0.000,1.000,1.000,1.000,1.000,0.000,1.000
