trial,mode,cand_label,cand_value,lockin_I,lockin_Q,lockin_mag,temp_c,route
0,no_sender,c0,0,-0.000066551,-0.010692707,0.000209480,45.5,4:5
0,no_sender,c1,0,-0.013419277,-0.010692707,0.017158409,45.5,4:5
1,no_sender,c0,0,0.000098476,0.000184524,0.000099120,45.5,4:5
1,no_sender,c1,0,-0.000357388,0.000184524,0.000402213,45.5,4:5
2,no_sender,c0,0,0.000265012,0.000414891,0.018454199,45.5,4:5
2,no_sender,c1,0,-0.000106240,0.000414891,0.000428277,45.5,4:5
3,no_sender,c0,0,0.023545001,0.000023427,0.034356217,45.5,4:5
3,no_sender,c1,0,-0.000104668,0.000023427,0.000107258,45.5,4:5
4,no_sender,c0,0,0.000150982,0.003761995,0.000466570,45.5,4:5
4,no_sender,c1,0,-0.001210145,0.003761995,0.003951842,45.5,4:5
5,no_sender,c0,0,-0.000019774,0.029267530,0.000172480,45.5,4:5
5,no_sender,c1,0,0.019448398,0.029267530,0.035140127,45.5,4:5
6,no_sender,c0,0,-0.002487379,-0.000135687,0.002599983,45.5,4:5
6,no_sender,c1,0,-0.024125295,-0.000135687,0.024125676,45.5,4:5
7,no_sender,c0,0,0.000122071,0.000150885,0.000152364,45.5,4:5
7,no_sender,c1,0,0.000109123,0.000150885,0.000186210,45.5,4:5
8,no_sender,c0,0,-0.025660813,-0.000171434,0.031679301,45.5,4:5
8,no_sender,c1,0,0.000024746,-0.000171434,0.000173211,45.5,4:5
9,no_sender,c0,0,-0.003441268,-0.004160054,0.003904893,45.5,4:5
9,no_sender,c1,0,0.001588313,-0.004160054,0.004452953,45.5,4:5
10,no_sender,c0,0,-0.011666659,-0.017213295,0.011673022,45.5,4:5
10,no_sender,c1,0,-0.005176662,-0.017213295,0.017974854,45.5,4:5
11,no_sender,c0,0,0.006110047,-0.009282094,0.006111413,45.5,4:5
11,no_sender,c1,0,0.004855965,-0.009282094,0.010475575,45.5,4:5
12,no_sender,c0,0,0.000208804,-0.000142771,0.000264289,45.5,4:5
12,no_sender,c1,0,0.000032370,-0.000142771,0.000146394,45.5,4:5
13,no_sender,c0,0,0.007188083,-0.000003936,0.008864750,45.6,4:5
13,no_sender,c1,0,-0.000331115,-0.000003936,0.000331139,45.6,4:5
14,no_sender,c0,0,0.017766972,-0.000197908,0.022229557,45.5,4:5
14,no_sender,c1,0,-0.000277430,-0.000197908,0.000340786,45.5,4:5
15,no_sender,c0,0,-0.000191781,-0.000087260,0.000201496,45.8,4:5
15,no_sender,c1,0,0.000098350,-0.000087260,0.000131481,45.8,4:5
16,no_sender,c0,0,0.000001268,0.019139063,0.000230722,45.6,4:5
16,no_sender,c1,0,-0.025486866,0.019139063,0.031872936,45.6,4:5
17,no_sender,c0,0,-0.005253977,0.019879615,0.005706457,45.5,4:5
17,no_sender,c1,0,-0.016183445,0.019879615,0.025634021,45.5,4:5
18,no_sender,c0,0,0.000301698,0.000220890,0.000463406,46.0,4:5
18,no_sender,c1,0,0.000043971,0.000220890,0.000225224,46.0,4:5
19,no_sender,c0,0,-0.015052219,0.000002208,0.026384731,45.8,4:5
19,no_sender,c1,0,0.000019145,0.000002208,0.000019272,45.8,4:5
20,no_sender,c0,0,-0.006297895,-0.004992552,0.011458099,46.0,4:5
20,no_sender,c1,0,-0.003616945,-0.004992552,0.006165053,46.0,4:5
21,no_sender,c0,0,0.009493860,-0.019660017,0.015104517,46.0,4:5
21,no_sender,c1,0,0.015549103,-0.019660017,0.025065731,46.0,4:5
