tuple_id	execution_ordinal	block_id	block_local_position	row_role	q	bank_A_work	bank_B_work	total_work	r_prepare	r_query	relation_match	query	relation_cell	session	replicate	mapping	delay_label	delay_ns	source_lifetime	lifetime_pair_id	lifetime_execution_order	lifetime_hold_ns	source_order	query_order	cyclic_origin	route_pressure_class	distance_control_class	allocation_order_class	prefault_class	operation_semantics_id	control_semantics_id	source_cpu_expected	receiver_cpu_expected	source_loop_count	receiver_loop_count	read_count	write_count	page_count_A	page_count_B	line_count_A	line_count_B	logical_line_histogram_sha256	virtual_offset_histogram_sha256	actual_cache_index_status	pair_distance_histogram_sha256	permutation_cycle_structure_sha256	matched_twin_group	matched_twin_pair	expected_pmu_group	requires_pmu	post_observation_scheduling
family10h_relation_composition_phase_correction_discovery_v1_0:balanced_alt_a_sham:000000:eae93284c31c51ba	0	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805	0	relation_matrix	0	2048	2048	4096	relation_r0	relation_r0	True	balanced_alt_a_compose_relation_sham_control	prepare_r0__query_r0	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	AB	1024	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_a:balanced_alt_a_sham	balanced_alt_a_compose_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805:composition_phase_correction:balanced_alt_a_sham	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805:relation_pair_0:balanced_alt_a_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:balanced_alt_a_sham:000001:8d41a2cc506cfadd	1	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805	1	relation_matrix	0	2048	2048	4096	relation_r0	relation_r1	False	balanced_alt_a_compose_relation_sham_control	prepare_r0__query_r1	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	AB	1024	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_a:balanced_alt_a_sham	balanced_alt_a_compose_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805:composition_phase_correction:balanced_alt_a_sham	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805:relation_pair_1:balanced_alt_a_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:balanced_alt_a_sham:000002:a822fbf941fd1d59	2	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805	2	relation_matrix	0	2048	2048	4096	relation_r1	relation_r0	False	balanced_alt_a_compose_relation_sham_control	prepare_r1__query_r0	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	AB	1024	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_a:balanced_alt_a_sham	balanced_alt_a_compose_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805:composition_phase_correction:balanced_alt_a_sham	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805:relation_pair_2:balanced_alt_a_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:balanced_alt_a_sham:000003:b1cf73cfadce2253	3	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805	3	relation_matrix	0	2048	2048	4096	relation_r1	relation_r1	True	balanced_alt_a_compose_relation_sham_control	prepare_r1__query_r1	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	AB	1024	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_a:balanced_alt_a_sham	balanced_alt_a_compose_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805:composition_phase_correction:balanced_alt_a_sham	balanced_alt_a_sham_seg_00_primary_block_00000_735c45b805:relation_pair_3:balanced_alt_a_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:balanced_alt_a_sham:000004:b0ed50382d9accf9	4	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1	0	relation_matrix	0	2048	2048	4096	relation_r0	relation_r1	False	balanced_alt_a_compose_relation_sham_control	prepare_r0__query_r1	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_0	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_a:balanced_alt_a_sham	balanced_alt_a_compose_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1:composition_phase_correction:balanced_alt_a_sham	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1:relation_pair_0:balanced_alt_a_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:balanced_alt_a_sham:000005:cc9b2e095bc7d53f	5	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1	1	relation_matrix	0	2048	2048	4096	relation_r1	relation_r0	False	balanced_alt_a_compose_relation_sham_control	prepare_r1__query_r0	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_0	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_a:balanced_alt_a_sham	balanced_alt_a_compose_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1:composition_phase_correction:balanced_alt_a_sham	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1:relation_pair_1:balanced_alt_a_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:balanced_alt_a_sham:000006:77b1c50140244ee5	6	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1	2	relation_matrix	0	2048	2048	4096	relation_r1	relation_r1	True	balanced_alt_a_compose_relation_sham_control	prepare_r1__query_r1	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_0	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_a:balanced_alt_a_sham	balanced_alt_a_compose_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1:composition_phase_correction:balanced_alt_a_sham	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1:relation_pair_2:balanced_alt_a_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:balanced_alt_a_sham:000007:65b592d1bdfaefbd	7	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1	3	relation_matrix	0	2048	2048	4096	relation_r0	relation_r0	True	balanced_alt_a_compose_relation_sham_control	prepare_r0__query_r0	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_0	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_a:balanced_alt_a_sham	balanced_alt_a_compose_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1:composition_phase_correction:balanced_alt_a_sham	balanced_alt_a_sham_seg_00_primary_block_00001_04c55259f1:relation_pair_3:balanced_alt_a_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:balanced_alt_a_sham:000008:4715e24a5ea3fbba	8	balanced_alt_a_sham_seg_00_primary_block_00002_7113d21dbc	0	relation_matrix	0	2048	2048	4096	relation_r1	relation_r0	False	balanced_alt_a_compose_relation_sham_control	prepare_r1__query_r0	session_1	1	map0	same_window	0	alive_during_query	spatial_block_repeat_0	alive_only	25000000	A_then_B	AB	2048	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_a:balanced_alt_a_sham	balanced_alt_a_compose_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	balanced_alt_a_sham_seg_00_primary_block_00002_7113d21dbc:composition_phase_correction:balanced_alt_a_sham	balanced_alt_a_sham_seg_00_primary_block_00002_7113d21dbc:relation_pair_0:balanced_alt_a_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:balanced_alt_a_sham:000009:4545e98fdd883951	9	balanced_alt_a_sham_seg_00_primary_block_00002_7113d21dbc	1	relation_matrix	0	2048	2048	4096	relation_r1	relation_r1	True	balanced_alt_a_compose_relation_sham_control	prepare_r1__query_r1	session_1	1	map0	same_window	0	alive_during_query	spatial_block_repeat_0	alive_only	25000000	A_then_B	AB	2048	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_a:balanced_alt_a_sham	balanced_alt_a_compose_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	balanced_alt_a_sham_seg_00_primary_block_00002_7113d21dbc:composition_phase_correction:balanced_alt_a_sham	balanced_alt_a_sham_seg_00_primary_block_00002_7113d21dbc:relation_pair_1:balanced_alt_a_sham	family10h_public_relation_match_group	True	False
