m,b
-0.8079673450,-1.2207777643
0.8556624751,0.6531818654
-0.0241382895,-0.5091123455
0.2424103731,0.3788673443
0.0347149992,-0.3551466814
-0.0626054377,0.0070883531
0.2740053941,0.3770924611
0.2322080501,0.3881692692
0.2414365438,0.1358541972
0.2256815098,0.1183885385
0.7519801645,0.5564516983
0.7873523056,0.3981094830
0.7226632536,0.3465321425
0.9720050723,1.4343185787
0.6428711059,0.3680765790
0.7914791127,1.0295382502
0.8367914129,0.9601172684
0.7032646433,0.3230538608
0.7172152814,0.6965011435
0.6403109873,0.6382339756
0.8043665641,0.5999857225
0.8403437644,0.6253118070
0.9167771183,1.1409885488
0.6221504932,1.0638579627
0.7705592706,0.5584556651
-0.0013314185,0.1526734036
-0.1198076879,-0.3539465548
0.3121291245,0.4371441800
-0.2800595638,-0.7607052252
-0.1740006182,0.1421725341
-0.4955220726,0.2124044836
-0.5334812956,-0.4357407090
-0.2841801966,-0.5647666604
-0.1817967352,-0.5956174753
-0.4530348988,-0.1675126497
-0.6735135153,-0.2645707207
-0.7342679473,-0.2821507891
-0.6374593710,-0.6177031308
-0.7726200828,-1.3043822642
-0.2668688837,0.3164303298
-0.0098881366,0.3350870995
0.3950728929,0.6163660508
0.4661253691,-0.3420080017
0.3812372308,-0.0132143058
0.3413849657,0.0003760412
0.4681234967,0.5776555454
0.4661000306,-0.1461625136
0.3189428741,0.2367631999
0.3376077234,0.2616846867
0.8105016081,0.4902947389
-0.0172632078,-0.1209409693
0.0242574220,-0.3684938271
0.0536249311,-0.0218772844
0.8518889590,0.4547594944
0.8262919700,0.9474750262
0.8189053815,1.0076875581
-0.7734391409,-0.6909308195
-0.8088010421,-0.8359794005
-0.5804199969,-1.0899160939
-0.7461946424,-1.0673498563
-0.6084452335,-1.1067878814
-0.7065211769,-0.3181260853
-0.6514159627,-1.5025341189
-0.6384834120,-0.7238928944
-0.6564800394,-0.5561458806
-0.7845561443,-0.9097916589
-0.7024521512,-0.7401596758
-0.6435719242,-0.9509992690
-0.6699771422,-0.8742886401
-0.6959155512,-1.3355104386
-0.6771277093,-0.9500281997
-0.7695941968,-1.3749047027
-0.4332550988,-0.7318706103
-0.2615443246,-0.0979602507
-0.5375303032,-0.1260914786
-0.4033744613,-0.7714092012
-0.3529561790,-1.1633613605
-0.4418943761,-0.9012550380
-0.4659485380,-1.0263761563
-0.3571998973,-0.7479447842
-0.2662811088,-0.2602746563
-0.2648859520,0.0582241755
-0.4563352167,-1.4779649328
-0.4399198573,-0.3819572172
-0.8339613162,-0.3967136973
-0.9675298205,-1.0089901777
-1.0033511779,-1.2587999283
-0.7620637942,-1.2744734377
-0.8680779306,-1.4207304359
-0.9521708250,-1.0854942500
-0.3585968884,-0.7612933498
-0.1711062943,0.0411545118
-0.3235069389,0.0997800434
-0.3032085162,-0.7967110935
-0.5745090202,-0.4137451141
-0.0072229190,0.3834317090
0.2333033433,-0.2761658066
0.1267132220,-0.1181305502
0.0262458769,-0.2239901168
0.1955793824,0.6110988931
-0.0701339100,0.5643910338
0.1457016685,0.1085146734
0.1553479505,0.2193232523
0.1653249105,0.2032727628
0.1177963675,0.1630663932
