m,b
-0.8079673450,0.2009597246
0.8556624751,-0.1458935007
-0.0241382895,0.1056386438
0.2424103731,-0.2766863237
0.0347149992,-0.0261894678
-0.0626054377,-0.3244364114
0.2740053941,-0.3773751150
0.2322080501,-0.3023664582
0.2414365438,0.5495613757
0.2256815098,0.0147144237
0.7519801645,0.2335986803
0.7873523056,0.3426737667
0.7226632536,0.2322196249
0.9720050723,-0.4398919375
0.6428711059,0.0026136530
0.7914791127,-0.2918043408
0.8367914129,-0.2246323295
0.7032646433,0.0142632453
0.7172152814,-0.1944953070
0.6403109873,0.0117929447
0.8043665641,0.2518180631
0.8403437644,-0.1277508605
0.9167771183,-0.3402289185
0.6221504932,-0.2676143801
0.7705592706,-0.6668637478
-0.0013314185,0.3181558650
-0.1198076879,-0.3825858697
0.3121291245,-0.4615147531
-0.2800595638,0.0904634300
-0.1740006182,0.1867131225
-0.4955220726,0.5758703020
-0.5334812956,0.2113534383
-0.2841801966,-0.1238226554
-0.1817967352,-0.0826949928
-0.4530348988,-0.4147890082
-0.6735135153,0.0930097514
-0.7342679473,-0.4863431477
-0.6374593710,0.0549757993
-0.7726200828,0.3322151798
-0.2668688837,-0.0614170718
-0.0098881366,-0.3724584725
0.3950728929,-0.4645685190
0.4661253691,0.1856314137
0.3812372308,-0.3190836438
0.3413849657,-0.5513562753
0.4681234967,-0.1451402225
0.4661000306,-0.3346611898
0.3189428741,-0.4951596322
0.3376077234,-0.2337892751
0.8105016081,-0.1051847072
-0.0172632078,-0.3329029799
0.0242574220,-0.2544364877
0.0536249311,-0.1339885405
0.8518889590,-0.3630154057
0.8262919700,-0.5197182183
0.8189053815,-0.2547976473
-0.7734391409,-0.1049517578
-0.8088010421,0.3194515349
-0.5804199969,0.2970785143
-0.7461946424,0.2166694148
-0.6084452335,0.1907902023
-0.7065211769,0.4442233852
-0.6514159627,0.1387017817
-0.6384834120,0.2908318054
-0.6564800394,-0.7234270960
-0.7845561443,0.3910650839
-0.7024521512,-0.1076995505
-0.6435719242,0.4032994775
-0.6699771422,-0.4403552673
-0.6959155512,-0.2965805114
-0.6771277093,0.4255744313
-0.7695941968,-0.1872091583
-0.4332550988,0.2556745498
-0.2615443246,0.0368793634
-0.5375303032,0.2591667680
-0.4033744613,0.5115666142
-0.3529561790,0.3785035038
-0.4418943761,-0.1027621478
-0.4659485380,-0.2504270810
-0.3571998973,-0.1191582579
-0.2662811088,-0.1022198819
-0.2648859520,-0.2472187602
-0.4563352167,-0.1661820698
-0.4399198573,-0.2600531639
-0.8339613162,-0.6144217042
-0.9675298205,-0.4620034232
-1.0033511779,0.5371875188
-0.7620637942,-0.2146315174
-0.8680779306,0.1021361022
-0.9521708250,0.4464561490
-0.3585968884,-0.4109339244
-0.1711062943,0.1206530363
-0.3235069389,0.3144076095
-0.3032085162,-0.9670463593
-0.5745090202,0.0239721985
-0.0072229190,0.4267944250
0.2333033433,0.3954407013
0.1267132220,-0.0589103511
0.0262458769,-0.2049103886
0.1955793824,0.0520900769
-0.0701339100,0.4263264713
0.1457016685,0.2104831176
0.1553479505,0.0859616313
0.1653249105,0.5860405675
0.1177963675,0.0995737185
0.1512590110,-0.3765099534
0.7958012625,0.4019732073
0.6964277320,0.6179623766
0.9097333386,-0.4270587097
0.6176172001,0.0327661754
0.4937888850,-0.2162314379
0.6048529971,0.2948831621
0.7272725543,-0.5990731173
0.7076626721,-0.0847584987
0.6500315258,-0.3809986036
0.7938829178,0.2368280833
0.7567027739,0.0529862587
0.7675092864,-0.0469429779
0.9124306949,0.5882417923
0.6561080423,0.7527604717
0.6611636434,-0.1059504933
-0.0979987170,0.2023696773
-0.1266425056,0.7195365384
-0.0497672599,-0.4146752277
0.7314455646,0.6891755551
0.2382459556,0.2263913648
0.0536106143,-0.2273374994
0.1767555788,0.0740776747
0.1577593984,-0.5068753243
0.8922176927,-0.2979669761
1.0000625528,-0.3821815617
0.8643279684,-0.0632572860
0.8581542824,0.3755100226
0.6788576286,0.1089175526
0.9020947791,0.2516719262
0.9279305371,0.1641101172
0.8883569870,0.9486285931
0.9052219655,-0.3244880655
0.8940483130,0.3507280230
0.9529215047,-0.0314514866
0.7905865154,-0.7049755291
0.8460445330,0.1144774019
0.9357417389,-0.2065977317
0.8974139782,0.1292394438
0.9609590692,-0.3910384119
0.9619247299,0.0162902902
1.0035159556,0.3414838374
0.8961865900,-0.1226548254
0.9265085627,0.2835258039
0.8646005066,0.1200345029
0.8089475885,0.0022280482
0.2886752732,-0.6040934663
0.3596616048,-0.2516466001
0.3844508785,-0.0108145395
0.5137500846,-0.1247925046
-0.9295290625,-0.1260104179
0.0509697140,0.1126876150
-0.7533778719,0.0354189138
-0.5713059750,-0.2377152160
-0.6167701466,0.6023565282
-0.6184607980,0.0776334913
-0.8634844242,-0.1426287325
-0.7170760675,0.2911815828
-0.3833679615,-0.3541142217
-0.3030565925,-0.4510284658
-1.0494874442,0.2499690837
-0.8830433622,0.0515274586
-0.8205626483,0.2152213243
-1.0059488599,-0.3703839289
-0.9752147369,-0.7757702063
-0.8794938860,0.0706544830
-0.7666358081,0.4419982838
-1.0067513900,-0.0872752628
-1.0086241380,0.0104885184
-0.9606694950,0.8515207414
-0.1749755672,-0.2240890863
-0.3235993120,0.0613179148
-0.3314087448,-0.1915233173
-0.3431193990,-0.0021433332
-0.2829123015,-0.2472433942
-0.2539681425,0.0466767361
-0.4546607700,0.5681497715
-0.5750190151,0.0850960195
-0.6696739577,0.2284842104
-0.5772624546,-0.3578603492
-0.5694076176,0.7610059403
-0.4679330639,-0.4010783301
-0.6764338633,-0.0452271041
-0.2407055684,0.1701631413
-0.3333033701,-0.5180699500
-0.5587596921,-0.4254665371
-0.5146944032,-0.2441925576
-0.2661891804,-0.5365192785
-0.2619710045,0.0113060895
0.1582430786,-0.2263839702
0.0559641093,0.3181124121
0.0809577173,0.4159179155
-0.0761883572,0.0065697584
0.1106655819,-0.0080956904
0.5618919628,-0.0194744553
0.6203916325,0.7195449460
0.3452846171,0.2722139019
0.5574682565,-0.1339149431
-0.6288534791,-0.0729371235
-0.5620076538,0.0347265670
-0.6299635987,-0.1999945282
-0.5870368282,0.0948700067
-0.5203417115,-0.2967969110
-0.5605283881,-0.3395143570
-0.5719765814,0.4061381136
-0.7102913617,-0.3451449167
-0.6401133553,0.5463830905
-0.6306109464,-0.2853240493
-0.4553636431,-0.6407849037
-0.5252257279,0.0236035901
-0.5727376183,0.0931971236
-0.6858704288,0.0264497084
-0.5287299068,-0.0657288104
-0.5626001511,0.1450253664
-0.6356112422,-0.2904745591
-0.5519011244,-0.1335593317
-0.6022984089,0.1110106478
-0.7478141457,0.1174158882
-0.6584920097,0.8603528980
-0.7400271827,0.0056985322
-0.4002456088,-0.5967881413
-0.9988559878,-0.0087803586
0.3316042137,0.2285472294
0.3222208193,-0.1447720750
0.3146168466,0.3842147884
0.4109118821,0.1572703305
0.1523148146,-0.3280570592
0.4107346972,-0.2826002117
0.4838754259,-0.2719289943
0.3741040330,-0.0205788767
0.3685368880,-0.2591063293
0.4531868462,0.0491164091
0.4683820371,-0.0554855005
0.2817359171,0.2540813330
0.3877219596,-0.9360981523
