m,b
0.0000000000,-13310.0010006130
0.0000000000,-13319.1494526580
0.0000000000,-13330.5888186746
1.0000000000,-13318.0897006371
0.0000000000,-13319.2485919519
0.0000000000,-13315.3463268486
1.0000000000,-13308.3604758001
0.0000000000,-13306.8681709837
0.0000000000,-13305.3322337021
1.0000000000,-13275.7756622971
0.0000000000,-13256.4450133708
0.0000000000,-13243.4354141167
1.0000000000,-8138.6350056833
0.0000000000,-13231.4451241982
0.0000000000,-5065.8381303899
0.0000000000,-13230.9104053101
1.0000000000,-13212.7082167317
0.0000000000,-13204.2691764172
1.0000000000,-13211.1347005820
0.0000000000,-13215.6528726237
0.0000000000,-13225.7279906856
0.0000000000,-13209.5953406897
0.0000000000,-13214.2340957289
1.0000000000,-13218.9147370034
0.0000000000,-13223.5630846657
1.0000000000,-13222.7111572898
0.0000000000,-13226.4674608539
0.0000000000,-10050.5312608872
1.0000000000,-13233.7534073370
0.0000000000,-13245.2077676480
0.0000000000,-13244.3501824871
1.0000000000,-13247.0211459411
0.0000000000,-13252.3379737042
1.0000000000,-13262.5519054041
0.0000000000,-13260.8734524771
0.0000000000,-13263.4158701250
0.0000000000,-13261.8574879681
0.0000000000,-13273.4047244283
1.0000000000,-13265.6514635325
0.0000000000,-13261.1379946702
0.0000000000,-13258.9963717160
0.0000000000,-13268.9133046292
0.0000000000,-13264.3491252496
0.0000000000,-13251.2129359670
1.0000000000,-13235.7047843608
0.0000000000,-13229.2120686449
1.0000000000,-13233.8667027349
0.0000000000,-13235.0004716218
0.0000000000,-13211.4651338512
1.0000000000,-13202.4007336736
