basis,distance,rounds,physical_error_rate,shots,seed,logical_error_count,logical_error_rate,logical_error_rate_laplace,survival,suppression_R,log_suppression,E,grad_S,sigma,Df,formula_score,formula_log_score,syndrome_density,num_detectors,num_observables,duration_seconds
x,3,3,0.00075,20000,3351309585,12,0.0006,0.0006249687515624218,0.9994,1.2000600000000001,0.1823715555439964,1.0,0.00886723175916466,10.619546482738869,3.0,135060.9658192883,11.813481554141976,0.009316666666666666,24,1,0.00770139999804087
x,3,3,0.0015,20000,2983878131,41,0.00205,0.002074896255187241,0.99795,0.7229277108433735,-0.3244460468244556,1.0,0.016233651393198618,7.848594509369623,3.0,29782.384151814167,10.301672361858653,0.019125,24,1,0.006835100000898819
x,3,3,0.003,20000,1238630197,138,0.0069,0.006924653767311635,0.9931,0.4332346570397112,-0.8364757646552509,1.0,0.02946405184492225,5.8257757707922595,3.0,6710.7154625736475,8.811460850596546,0.03713333333333333,24,1,0.009324399998149602
x,3,3,0.006,20000,3863246787,554,0.0277,0.027723613819309035,0.9723,0.21642200180342652,-1.530525065258334,1.0,0.05291508034484766,4.347206496204173,3.0,1552.5705725830635,7.347667270154874,0.07206458333333333,24,1,0.013976199999888195
x,3,3,0.012,20000,901187110,1777,0.08885,0.08887055647217638,0.91115,0.13502784810126583,-2.002274239585363,1.0,0.09377790984777166,3.2655002819317267,3.0,371.32024468267525,5.917064883485181,0.132325,24,1,0.029961699998239055
x,3,3,0.024,20000,3440152408,4821,0.24105,0.24106294685265736,0.75895,0.09955905838432023,-2.307004259298461,1.0,0.16334554318340233,2.474265817394028,3.0,92.73245905383364,4.529718562888584,0.22937291666666668,24,1,0.0610941000013554
x,3,3,0.048,20000,838160493,8416,0.4208,0.4208039598020099,0.5791999999999999,0.11406736767064694,-2.170966060647213,1.0,0.2778395739583094,1.8971555812924568,3.0,24.576200366978256,3.2017785098852434,0.35311875,24,1,0.07707730000038282
x,5,5,0.00075,20000,3443230999,1,5e-05,7.499625018749062e-05,0.99995,10.0005,2.3026350917440874,1.0,0.00886723175916466,10.619546482738869,5.0,15231469.018467579,16.538874175798764,0.011247916666666666,120,1,0.028053000001818873
x,5,5,0.0015,20000,3621495225,6,0.0003,0.0003249837508124594,0.9997,4.615615384615385,1.5294452035106056,1.0,0.016233651393198618,7.848594509369623,5.0,1834607.842095959,14.422341306602116,0.022224583333333332,120,1,0.05518570000276668
x,5,5,0.003,20000,4002819557,83,0.00415,0.004174791260436978,0.99585,0.7185988023952096,-0.3304520708846675,1.0,0.02946405184492225,5.8257757707922595,5.0,227759.42351357738,12.336045190835163,0.04333708333333333,120,1,0.06899090000297292
x,5,5,0.006,20000,3678643428,513,0.02565,0.025673716314184292,0.97435,0.23370204479065237,-1.4537082878365253,1.0,0.05291508034484766,4.347206496204173,5.0,29340.795902887396,10.286734178216824,0.08313291666666667,120,1,0.12130279999837512
x,5,5,0.012,20000,2584106485,2798,0.1399,0.13991800409979502,0.8601,0.08576451670537788,-2.456149916239381,1.0,0.09377790984777166,3.2655002819317267,5.0,3959.5704925118725,8.283890836879253,0.1521275,120,1,0.23104460000104154
x,5,5,0.024,20000,3268184246,7894,0.3947,0.39470526473676315,0.6053,0.060804864145924384,-2.800085490809965,1.0,0.16334554318340233,2.474265817394028,5.0,567.7073108123604,6.341605988044017,0.25803,120,1,0.41797119999682764
x,5,5,0.048,20000,862385293,9904,0.4952,0.4952002399880006,0.5048,0.09693048614266242,-2.3337611950908124,1.0,0.2778395739583094,1.8971555812924568,5.0,88.45464314837305,4.48248991383934,0.38130916666666664,120,1,0.6686405999971612
x,7,7,0.00075,20000,3669820884,0,0.0,2.4998750062496874e-05,1.0,30.0015,3.401247380412197,1.0,0.00886723175916466,10.619546482738869,7.0,1717725377.226687,21.264266797455555,0.012108779761904762,336,1,0.10279319999972358
x,7,7,0.0015,20000,3019928476,3,0.00015,0.00017499125043747812,0.99985,8.571857142857143,2.148484411916829,1.0,0.016233651393198618,7.848594509369623,7.0,113012642.54476978,18.543010251345578,0.023926934523809524,336,1,0.14272749999872758
x,7,7,0.003,20000,105950047,43,0.00215,0.002174891255437228,0.99785,1.3793793103448275,0.3216336228775039,1.0,0.02946405184492225,5.8257757707922595,7.0,7730078.154638763,15.860629531073782,0.04674866071428571,336,1,0.18357560000004014
x,7,7,0.006,20000,1544160031,469,0.02345,0.023473826308684567,0.97655,0.2556038338658147,-1.36412655711623,1.0,0.05291508034484766,4.347206496204173,7.0,554488.355902956,13.225801086278773,0.08903452380952381,336,1,0.38311830000020564
x,7,7,0.012,20000,1445527150,3911,0.19555,0.19556522173891305,0.80445,0.06136060334909881,-2.7909872890331022,1.0,0.09377790984777166,3.2655002819317267,7.0,42222.8486318301,10.650716790273325,0.1619090773809524,336,1,0.7721966999997676
x,7,7,0.024,20000,603212063,9467,0.47335,0.47335133243337835,0.5266500000000001,0.050702297332981254,-2.9817840571239715,1.0,0.16334554318340233,2.474265817394028,7.0,3475.4992376801233,8.15349341319945,0.27083526785714285,336,1,1.565797900002508
x,7,7,0.048,20000,3295170555,9979,0.49895,0.4989500524973751,0.50105,0.09620201412896438,-2.3413049846381284,1.0,0.2778395739583094,1.8971555812924568,7.0,318.36588966856795,5.763201317793438,0.39364330357142857,336,1,2.2830259000002115
x,9,9,0.00075,20000,2827604876,0,0.0,2.4998750062496874e-05,1.0,30.0015,3.401247380412197,1.0,0.00886723175916466,10.619546482738869,9.0,193716080043.96014,25.989659419112346,0.012671458333333333,720,1,0.21653969999897527
x,9,9,0.0015,20000,3386840107,0,0.0,2.4998750062496874e-05,1.0,60.003,4.094394560972142,1.0,0.016233651393198618,7.848594509369623,9.0,6961628028.560383,22.66367919608904,0.024822708333333332,720,1,0.2798413000018627
x,9,9,0.003,20000,3802205179,24,0.0012,0.001224938753062347,0.9988,2.4491020408163267,0.8957214434214611,1.0,0.02946405184492225,5.8257757707922595,9.0,262356250.09501,19.385213871312402,0.048608541666666664,720,1,0.40665359999911743
x,9,9,0.006,20000,4218062770,420,0.021,0.021023948802559873,0.979,0.2853888228299643,-1.253902737880915,1.0,0.05291508034484766,4.347206496204173,9.0,10478834.24326968,16.16486799434072,0.0923232638888889,720,1,0.8105768999994325
x,9,9,0.012,20000,496629751,4962,0.2481,0.2481125943702815,0.7519,0.04836513853904282,-3.0289760029034127,1.0,0.09377790984777166,3.2655002819317267,9.0,450243.0124575163,13.017542743667397,0.16713763888888888,720,1,1.9359039000009943
x,9,9,0.024,20000,2629572160,9945,0.49725,0.49725013749312535,0.50275,0.04826544668443014,-3.031039363893137,1.0,0.16334554318340233,2.474265817394028,9.0,21276.97621830965,9.965380838354884,0.2784245833333333,720,1,3.806468600003427
x,9,9,0.048,20000,1853421267,9993,0.49965,0.499650017499125,0.5003500000000001,0.09606724370841048,-2.342706877422673,1.0,0.2778395739583094,1.8971555812924568,9.0,1145.8622871209113,7.043912721747535,0.40080243055555553,720,1,5.3817645000017365
z,3,3,0.00075,20000,3018341627,12,0.0006,0.0006249687515624218,0.9994,1.2000600000000001,0.1823715555439964,1.0,0.00886723175916466,10.619546482738869,3.0,135060.9658192883,11.813481554141976,0.009179166666666667,24,1,0.007741800000076182
z,3,3,0.0015,20000,2061013063,43,0.00215,0.002174891255437228,0.99785,0.6896896551724138,-0.37151355768244143,1.0,0.016233651393198618,7.848594509369623,3.0,29782.384151814167,10.301672361858653,0.018285416666666665,24,1,0.009001899998111185
z,3,3,0.003,20000,1822668916,135,0.00675,0.006774661266936653,0.99325,0.4428265682656827,-0.8145770793476133,1.0,0.02946405184492225,5.8257757707922595,3.0,6710.7154625736475,8.811460850596546,0.03583125,24,1,0.011136299999634502
