basis,distance,rounds,physical_error_rate,shots,seed,logical_error_count,logical_error_rate,logical_error_rate_laplace,survival,suppression_R,log_suppression,E,grad_S,sigma,Df,formula_score,formula_log_score,syndrome_density,num_detectors,num_observables,duration_seconds
x,3,3,0.001,20000,1344064555,14,0.0007,0.0007249637518124093,0.9993,1.3793793103448277,0.3216336228775041,1.0,0.011407757737461138,9.362672992727516,3.0,71944.77784389314,11.183654129332485,0.0127125,24,1,0.0048839999981282745
x,3,3,0.002,20000,306245049,60,0.003,0.003024848757562122,0.997,0.6611900826446281,-0.41371391217281783,1.0,0.020814071335501033,6.931408277783559,3.0,15999.536566671928,9.680315036219433,0.0251,24,1,0.004976900003384799
x,3,3,0.005,20000,382474657,409,0.02045,0.02047397630118494,0.97955,0.24421245421245424,-1.409716718554991,1.0,0.0454146923337941,4.692473317686164,3.0,2275.1448882574455,7.72979901650324,0.06050625,24,1,0.008825000000797445
x,3,3,0.01,20000,2589460297,1308,0.0654,0.06542172891355433,0.9346,0.15285441345051584,-1.8782693566721222,1.0,0.08079313589591118,3.5181371628382068,3.0,538.9690629392286,6.28965817211743,0.11350416666666667,24,1,0.01545339999938733
x,3,3,0.02,20000,1691208930,3832,0.1916,0.19161541922903855,0.8084,0.1043757338551859,-2.2597580648879454,1.0,0.14144054254182067,2.6589675866340143,3.0,132.91231308028463,4.889689610639601,0.20089375,24,1,0.02773910000178148
x,3,3,0.04,20000,1273224008,7514,0.3757,0.3757062146892655,0.6243000000000001,0.10646616541353385,-2.23992803995618,1.0,0.24229218908241482,2.0315629930625523,3.0,34.60600495400129,3.54402722058885,0.3192083333333333,24,1,0.049111300002550706
x,5,5,0.001,20000,112344303,0,0.0,2.4998750062496874e-05,1.0,40.002,3.688929452863978,1.0,0.011407757737461138,9.362672992727516,5.0,6306653.726318073,15.657115781065478,0.014974166666666667,120,1,0.025505300000077114
x,5,5,0.002,20000,847620625,26,0.0013,0.0013249337533123343,0.9987,1.5095094339622643,0.41178471987180154,1.0,0.020814071335501033,6.931408277783559,5.0,768688.4660274368,13.552441050707206,0.02941875,120,1,0.03319779999947059
x,5,5,0.005,20000,4227246653,316,0.0158,0.01582420878956052,0.9842,0.3159715639810427,-1.1521030568460977,1.0,0.0454146923337941,4.692473317686164,5.0,50097.11111847516,10.821718623104536,0.07023375,120,1,0.062314599999808706
x,5,5,0.01,20000,1169900167,1935,0.09675,0.09677016149192541,0.90325,0.10333763885300955,-2.2697536047196247,1.0,0.08079313589591118,3.5181371628382068,5.0,6670.975906091855,8.805521440964402,0.1307375,120,1,0.12696409999989555
x,5,5,0.02,20000,278762986,6593,0.32965,0.3296585170741463,0.67035,0.06066884052475924,-2.80232504838973,1.0,0.14144054254182067,2.6589675866340143,5.0,939.7044913129173,6.845565454895441,0.22666375,120,1,0.26323910000064643
