basis,distance,rounds,physical_error_rate,shots,seed,noise_model,logical_error_count,logical_error_rate,logical_error_rate_laplace,log_suppression,syndrome_density,duration_seconds
x,3,3,0.0005,100000,1251217045,depol,16,0.00016,0.00016499835001649983,1.1086726244716116,0.0063925,0.017649299999902723
x,3,3,0.001,100000,826619425,depol,94,0.00094,0.0009449905500944991,0.05658035143839458,0.012681666666666667,0.01601259999733884
x,3,3,0.002,100000,1061584848,depol,334,0.00334,0.0033449665503344967,-0.5143095130702461,0.0249475,0.022618200000579236
x,3,3,0.004,100000,2788148331,depol,1246,0.01246,0.012464875351246487,-1.1366203559056303,0.049057083333333334,0.03452090000064345
x,5,5,0.0005,100000,4279597743,depol,3,3e-05,3.499965000349997e-05,2.6592700368827784,0.0075755833333333335,0.06680300000152783
x,5,5,0.001,100000,1629847058,depol,17,0.00017,0.00017499825001749983,1.7429793050086233,0.015029083333333334,0.08955909999713185
x,5,5,0.002,100000,4054152220,depol,104,0.00104,0.001044989550104499,0.6491402950931714,0.029439083333333334,0.12735089999841875
x,5,5,0.004,100000,1477720489,depol,797,0.00797,0.007974920250797492,-0.6900072876010173,0.05710666666666667,0.22948629999882542
x,7,7,0.0005,100000,2474965716,depol,1,1e-05,1.4999850001499985e-05,3.506567897269982,0.008100089285714285,0.21549919999961276
x,7,7,0.001,100000,3930833461,depol,2,2e-05,2.4999750002499974e-05,3.6888894540639368,0.016020029761904763,0.27592460000232677
x,7,7,0.002,100000,767654621,depol,30,0.0003,0.00030499695003049967,1.8806006828846713,0.031737886904761904,0.45534649999899557
x,7,7,0.004,100000,1549079451,depol,496,0.00496,0.004964950350496495,-0.21610893642724482,0.0613216369047619,0.9141395000006014
x,9,9,0.0005,100000,813226105,depol,0,0.0,4.999950000499995e-06,4.605180185938091,0.008440833333333333,0.5335147000005236
x,9,9,0.001,100000,2898309837,depol,0,0.0,4.999950000499995e-06,5.298327366498037,0.016745,0.7919794999979786
x,9,9,0.002,100000,4183356775,depol,12,0.00012,0.00012499875001249989,2.772598722189781,0.03286680555555556,1.231042499999603
x,9,9,0.004,100000,1315510252,depol,298,0.00298,0.002984970150298497,0.29270461422532557,0.06365011111111112,1.9788554000006116
z,3,3,0.0005,100000,3476574302,depol,18,0.00018,0.0001849981500184998,0.9942622732938673,0.006233333333333333,0.020772799998667324
z,3,3,0.001,100000,4034613564,depol,83,0.00083,0.0008349916500834992,0.18033355408128188,0.012262916666666667,0.02414890000000014
z,3,3,0.002,100000,1668525023,depol,291,0.00291,0.002914970850291497,-0.37671263929251014,0.024206666666666668,0.02811659999861149
z,3,3,0.004,100000,3860520820,depol,1109,0.01109,0.011094889051109488,-1.0201901953146664,0.04747625,0.04727110000021639
z,5,5,0.0005,100000,1665434048,depol,1,1e-05,1.4999850001499985e-05,3.506567897269982,0.007412666666666666,0.09317469999950845
z,5,5,0.001,100000,89946200,depol,11,0.00011,0.00011499885001149988,2.162833150568887,0.014717333333333334,0.1267087000014726
z,5,5,0.002,100000,2980531871,depol,127,0.00127,0.0012749872501274988,0.45021100189955615,0.029047,0.14570090000052005
z,5,5,0.004,100000,976771013,depol,813,0.00813,0.008134918650813491,-0.70987137960111,0.05615091666666667,0.3024548000030336
z,7,7,0.0005,100000,202231654,depol,0,0.0,4.999950000499995e-06,4.605180185938091,0.007965148809523809,0.26555480000024545
z,7,7,0.001,100000,1029543250,depol,1,1e-05,1.4999850001499985e-05,4.199715077829928,0.015807232142857144,0.27205509999839705
z,7,7,0.002,100000,1184510473,depol,22,0.00022,0.00022499775002249978,2.1848120572876626,0.03128869047619048,0.4440251000014541
z,7,7,0.004,100000,3127065553,depol,424,0.00424,0.004244957550424496,-0.05943745869341962,0.06058794642857143,0.8655987000020104
z,9,9,0.0005,100000,3255202621,depol,0,0.0,4.999950000499995e-06,4.605180185938091,0.008355277777777777,0.5012160999976913
z,9,9,0.001,100000,2637221407,depol,1,1e-05,1.4999850001499985e-05,4.199715077829928,0.016598819444444444,0.5814722000031907
z,9,9,0.002,100000,1177730862,depol,9,9e-05,9.499905000949991e-05,3.047035567891542,0.03264798611111111,1.166468999999779
z,9,9,0.004,100000,3527615595,depol,228,0.00228,0.0022849771502284977,0.559938336723723,0.06309897222222222,2.2849676000005275
