basis,distance,rounds,physical_error_rate,shots,seed,noise_model,logical_error_count,logical_error_rate,logical_error_rate_laplace,log_suppression,syndrome_density,duration_seconds
x,3,3,0.0005,100000,2217216513,meas,6,6e-05,6.499935000649993e-05,2.040230828476555,0.0063729166666666665,0.01976709999871673
x,3,3,0.001,100000,4093023436,meas,47,0.00047,0.0004749952500474995,0.7444504748974963,0.012770833333333334,0.01895890000014333
x,3,3,0.002,100000,50324120,meas,217,0.00217,0.002174978250217498,-0.08387148403070181,0.025418333333333334,0.024674700001924066
x,3,3,0.004,100000,2081169087,meas,739,0.00739,0.007394926050739493,-0.6144997350928723,0.050062916666666665,0.03733250000004773
x,5,5,0.0005,100000,1975046045,meas,1,1e-05,1.4999850001499985e-05,3.506567897269982,0.0066883333333333335,0.07326249999823631
x,5,5,0.001,100000,219764054,meas,3,3e-05,3.499965000349997e-05,3.352417217442724,0.013250666666666666,0.08515559999796096
x,5,5,0.002,100000,3777496798,meas,22,0.00022,0.00022499775002249978,2.1848120572876626,0.026246583333333334,0.12398329999996349
x,5,5,0.004,100000,350141510,meas,216,0.00216,0.002164978350216498,0.6138839996154378,0.05142858333333333,0.20598489999974845
x,7,7,0.0005,100000,3181972946,meas,0,0.0,4.999950000499995e-06,4.605180185938091,0.006760982142857143,0.22494089999963762
x,7,7,0.001,100000,2991677349,meas,0,0.0,4.999950000499995e-06,5.298327366498037,0.013504970238095238,0.23295470000084606
x,7,7,0.002,100000,277177446,meas,3,3e-05,3.499965000349997e-05,4.045564398002669,0.026594791666666666,0.3344992000020284
x,7,7,0.004,100000,2448129289,meas,53,0.00053,0.0005349946500534994,2.0117928931560214,0.051816160714285714,0.7073808999994071
x,9,9,0.0005,100000,3278355858,meas,0,0.0,4.999950000499995e-06,4.605180185938091,0.006816680555555556,0.5223642999990261
x,9,9,0.001,100000,2115645938,meas,0,0.0,4.999950000499995e-06,5.298327366498037,0.013538875,0.5970980000020063
x,9,9,0.002,100000,1719975520,meas,0,0.0,4.999950000499995e-06,5.991474547057982,0.026738458333333333,0.9341314000012062
x,9,9,0.004,100000,1853062634,meas,12,0.00012,0.00012499875001249989,3.4657459027497266,0.05230420833333333,1.614046300001064
z,3,3,0.0005,100000,106041600,meas,11,0.00011,0.00011499885001149988,1.469685970008942,0.006507916666666667,0.020316900001489557
z,3,3,0.001,100000,3689187636,meas,50,0.0005,0.0005049949500504995,0.6832068496567777,0.01274,0.024169099997379817
z,3,3,0.002,100000,12447167,meas,188,0.00188,0.0018849811501884981,0.05922935960997165,0.025362083333333334,0.03200270000161254
z,3,3,0.004,100000,1155128625,meas,720,0.0072,0.007204927950720493,-0.5884708683815943,0.049354166666666664,0.04984179999883054
z,5,5,0.0005,100000,135787977,meas,1,1e-05,1.4999850001499985e-05,3.506567897269982,0.006686416666666667,0.08946339999965858
z,5,5,0.001,100000,290666263,meas,1,1e-05,1.4999850001499985e-05,4.199715077829928,0.01329525,0.11063199999989592
z,5,5,0.002,100000,3527130594,meas,28,0.00028,0.0002849971500284997,1.9484232792234322,0.02610116666666667,0.13311249999969732
z,5,5,0.004,100000,3670207794,meas,168,0.00168,0.0016849831501684982,0.8645387972655659,0.0511315,0.20728450000024168
z,7,7,0.0005,100000,1520290911,meas,0,0.0,4.999950000499995e-06,4.605180185938091,0.006765297619047619,0.23034740000002785
z,7,7,0.001,100000,1602949660,meas,0,0.0,4.999950000499995e-06,5.298327366498037,0.013434136904761905,0.31663040000057663
z,7,7,0.002,100000,2228344960,meas,3,3e-05,3.499965000349997e-05,4.045564398002669,0.026524255952380952,0.45475420000002487
z,7,7,0.004,100000,1677480161,meas,47,0.00047,0.0004749952500474995,2.130744836017387,0.051827142857142856,0.746652300000278
z,9,9,0.0005,100000,3396314980,meas,0,0.0,4.999950000499995e-06,4.605180185938091,0.006794180555555556,0.4994760999979917
z,9,9,0.001,100000,1166608037,meas,0,0.0,4.999950000499995e-06,5.298327366498037,0.013493111111111112,0.7128598999988753
z,9,9,0.002,100000,3673475214,meas,1,1e-05,1.4999850001499985e-05,4.892862258389872,0.026697097222222223,1.0035027000012633
z,9,9,0.004,100000,1427820093,meas,9,9e-05,9.499905000949991e-05,3.740182748451487,0.05213661111111111,1.7827321000004304
