basis,distance,rounds,physical_error_rate,shots,seed,noise_model,logical_error_count,logical_error_rate,logical_error_rate_laplace,log_suppression,syndrome_density,duration_seconds
x,3,3,0.0005,100000,339453344,depol,20,0.0002,0.0002049979500204998,0.8916081192337838,0.00646125,0.013579500002379064
x,3,3,0.001,100000,98510278,depol,85,0.00085,0.0008549914500854992,0.15666380999537705,0.012619166666666667,0.015971500000887318
x,3,3,0.002,100000,28953677,depol,344,0.00344,0.0034449655503444965,-0.5437667239556762,0.025095416666666665,0.02067239999814774
x,3,3,0.004,100000,2913002265,depol,1228,0.01228,0.012284877151228488,-1.1220746449032515,0.048709583333333334,0.03303779999987455
x,3,3,0.006,100000,3676225883,depol,2713,0.02713,0.027134728652713474,-1.5090549383373129,0.07160791666666666,0.045378200000413926
x,3,3,0.008,100000,4059130513,depol,4457,0.04457,0.04457455425445746,-1.7177216221193679,0.09285458333333334,0.05849359999774606
x,3,3,0.01,100000,2766022338,depol,6392,0.06392,0.06392436075639243,-1.8551154282332043,0.11283083333333334,0.07073460000174236
x,3,3,0.02,100000,106026600,depol,19062,0.19062,0.1906230937690623,-2.254565873857685,0.20118958333333334,0.13858219999747234
x,3,3,0.04,100000,1273905531,depol,38312,0.38312,0.3831211687883121,-2.259471852626539,0.31950375,0.24340880000090692
x,5,5,0.0005,100000,2413241175,depol,3,3e-05,3.499965000349997e-05,2.6592700368827784,0.007544583333333334,0.06597909999982221
x,5,5,0.001,100000,2077398289,depol,18,0.00018,0.0001849981500184998,1.6874094538538125,0.014951333333333334,0.09062890000132029
x,5,5,0.002,100000,2496296152,depol,103,0.00103,0.0010349896501034989,0.6587557537926133,0.02950975,0.1286060999991605
x,5,5,0.004,100000,4067843723,depol,884,0.00884,0.008844911550884491,-0.7935479665418577,0.0572055,0.22568360000150278
x,5,5,0.006,100000,394191153,depol,2669,0.02669,0.026694733052669475,-1.4927068127740943,0.08323225,0.3357295999994676
x,5,5,0.008,100000,2646296047,depol,5510,0.0551,0.05510444895551044,-1.929788914513669,0.10753075,0.6407605999993393
x,5,5,0.01,100000,3379488332,depol,9505,0.09505,0.09505404945950541,-2.251860578499544,0.13072641666666668,0.7360196000008727
x,5,5,0.02,100000,7091382,depol,32666,0.32666,0.3266617333826662,-2.793192907438685,0.22646283333333334,1.5951081999992311
x,5,5,0.04,100000,882622792,depol,49121,0.49121,0.491210087899121,-2.5079924597620207,0.34893283333333336,2.579606999999669
x,7,7,0.0005,100000,2328172770,depol,0,0.0,4.999950000499995e-06,4.605180185938091,0.008074851190476191,0.2420918999996502
x,7,7,0.001,100000,4043611219,depol,1,1e-05,1.4999850001499985e-05,4.199715077829928,0.016095238095238096,0.3264639000008174
x,7,7,0.002,100000,3413135983,depol,22,0.00022,0.00022499775002249978,2.1848120572876626,0.03154044642857143,0.5407789000018965
x,7,7,0.004,100000,3716695890,depol,517,0.00517,0.005174948250517495,-0.2575349780815418,0.06116232142857143,0.9134510000003502
x,7,7,0.006,100000,1202042399,depol,2356,0.02356,0.023564764352356476,-1.3679930911976388,0.08897270833333333,1.5258226999976614
x,7,7,0.008,100000,735148580,depol,6263,0.06263,0.06263437365626344,-2.057872685666319,0.1149114880952381,2.1497992999975395
x,7,7,0.01,100000,2706042547,depol,12481,0.12481,0.12481375186248138,-2.524237548076457,0.1393570238095238,2.796673100001499
x,7,7,0.02,100000,565072126,depol,43165,0.43165,0.43165068349316504,-3.0718843845692736,0.23921354166666667,5.985302400000364
x,7,7,0.04,100000,181189082,depol,50038,0.50038,0.500379996200038,-2.526488348060345,0.36269705357142856,10.117605999999796
x,9,9,0.0005,100000,3547876299,depol,0,0.0,4.999950000499995e-06,4.605180185938091,0.008440416666666667,0.4335060000012163
x,9,9,0.001,100000,2298972714,depol,0,0.0,4.999950000499995e-06,5.298327366498037,0.016734916666666665,0.6874390999983007
x,9,9,0.002,100000,4144284706,depol,5,5e-05,5.4999450005499945e-05,3.593579274259612,0.03288415277777778,1.1158211999972991
x,9,9,0.004,100000,109560141,depol,283,0.00283,0.002834971650283497,0.34426242389017564,0.06359031944444445,2.2093758000009984
x,9,9,0.006,100000,286945642,depol,2020,0.0202,0.02020479795202048,-1.2141606293523817,0.09235055555555556,3.7085734000029333
x,9,9,0.008,100000,951194052,depol,7154,0.07154,0.07154428455715443,-2.190875080728862,0.11907786111111111,5.5187952000014775
x,9,9,0.01,100000,2259452385,depol,15650,0.1565,0.15650343496565033,-2.750492865407596,0.1440753611111111,7.160738800001127
x,9,9,0.02,100000,54017719,depol,47907,0.47907,0.479070209297907,-3.1761148878505674,0.24636152777777778,14.910185199998523
x,9,9,0.04,100000,1796300413,depol,50250,0.5025,0.50249997500025,-2.530716136068547,0.3705242083333333,26.43540650000068
x,11,11,0.0005,100000,3248956617,depol,0,0.0,4.999950000499995e-06,4.605180185938091,0.008664636363636364,0.8669369999988703
x,11,11,0.001,100000,847037107,depol,0,0.0,4.999950000499995e-06,5.298327366498037,0.017155075757575758,1.2924655999995593
x,11,11,0.002,100000,993320719,depol,0,0.0,4.999950000499995e-06,5.991474547057982,0.033744916666666666,2.254014100002678
x,11,11,0.004,100000,3543214059,depol,152,0.00152,0.0015249847501524986,0.964309951010516,0.06525087121212121,4.024675100001332
x,11,11,0.006,100000,1028783703,depol,1756,0.01756,0.01756482435175648,-1.074138816539735,0.09457837121212122,7.085787700001674
x,11,11,0.008,100000,2183393062,depol,7743,0.07743,0.07743422565774342,-2.2699873331383014,0.12190568939393939,10.524372399999265
x,11,11,0.01,100000,3786582807,depol,18736,0.18736,0.1873631263687363,-2.930463493141936,0.147493,14.694406899998285
x,11,11,0.02,100000,2552275097,depol,49493,0.49493,0.49493005069949303,-3.2086841673110618,0.2512314696969697,32.56439709999904
x,11,11,0.04,100000,1538636104,depol,49651,0.49651,0.496510034899651,-2.5187242404452954,0.3756276818181818,54.377125299997715
z,3,3,0.0005,100000,3622781120,depol,24,0.00024,0.00024499755002449974,0.7133598878274652,0.0061804166666666665,0.015417800001159776
z,3,3,0.001,100000,3808258641,depol,60,0.0006,0.0006049939500604994,0.5025368209012959,0.012354166666666666,0.01490170000033686
z,3,3,0.002,100000,3004570790,depol,317,0.00317,0.003174968250317497,-0.4621504518347093,0.024288333333333332,0.021987799998896662
z,3,3,0.004,100000,1747966470,depol,1157,0.01157,0.011574884251157488,-1.0625432389024068,0.04736041666666667,0.03309380000064266
z,3,3,0.006,100000,669443194,depol,2405,0.02405,0.024054759452405476,-1.3885734059733617,0.06883875,0.04253740000058315
z,3,3,0.008,100000,3689917691,depol,3999,0.03999,0.03999460005399946,-1.609302904670949,0.089585,0.054758400001446716
z,3,3,0.01,100000,620568105,depol,5792,0.05792,0.05792442075579244,-1.756553977374394,0.10963083333333333,0.07076909999886993
z,3,3,0.02,100000,4270293328,depol,17270,0.1727,0.17270327296727034,-2.1558426631693224,0.19485125,0.14569110000229557
z,3,3,0.04,100000,1428447132,depol,37847,0.37847,0.3784712152878471,-2.2472605664340057,0.31174125,0.29360150000138674
z,5,5,0.0005,100000,354366111,depol,1,1e-05,1.4999850001499985e-05,3.506567897269982,0.007336916666666667,0.06608929999856628
z,5,5,0.001,100000,2717258119,depol,12,0.00012,0.00012499875001249989,2.0794515416298363,0.014635416666666666,0.09762019999834592
z,5,5,0.002,100000,953566835,depol,92,0.00092,0.0009249907500924991,0.7711187219796575,0.028986583333333333,0.13787260000026436
z,5,5,0.004,100000,1939806627,depol,772,0.00772,0.007724922750772492,-0.6581574617139181,0.05615716666666667,0.2791556000011042
z,5,5,0.006,100000,1400444327,depol,2294,0.02294,0.022944770552294477,-1.3413305786687415,0.081725,0.3985371999988274
z,5,5,0.008,100000,1960803123,depol,4860,0.0486,0.04860451395486045,-1.8042748646431959,0.10591391666666666,0.568966900002124
z,5,5,0.01,100000,3213290949,depol,8241,0.08241,0.08241417585824141,-2.109172366239273,0.12850475,0.6595558999979403
z,5,5,0.02,100000,24549035,depol,30286,0.30286,0.3028619713802862,-2.7175448881664557,0.22320283333333332,1.5464991999979247
z,5,5,0.04,100000,1950850833,depol,48863,0.48863,0.488630113698863,-2.502726335431988,0.34475416666666664,2.4128352999978233
z,7,7,0.0005,100000,3104053011,depol,0,0.0,4.999950000499995e-06,4.605180185938091,0.008015863095238095,0.20079919999989215
z,7,7,0.001,100000,2794281446,depol,1,1e-05,1.4999850001499985e-05,4.199715077829928,0.015910089285714284,0.2596460999993724
z,7,7,0.002,100000,1431146248,depol,24,0.00024,0.00024499755002449974,2.0996542489473558,0.03125744047619047,0.4096157000021776
z,7,7,0.004,100000,1565742230,depol,422,0.00422,0.0042249577504224955,-0.05471489973924609,0.06051758928571429,0.9270426999974006
z,7,7,0.006,100000,3700616096,depol,1970,0.0197,0.01970480295197048,-1.1891029414689116,0.08797157738095238,1.554655999996612
z,7,7,0.008,100000,3163410777,depol,5233,0.05233,0.05233447665523345,-1.8782138216770108,0.11358041666666667,1.9660373000006075
z,7,7,0.01,100000,3708366671,depol,10291,0.10291,0.1029139708602914,-2.331308311866918,0.13765458333333333,2.8128079999987676
z,7,7,0.02,100000,4118352571,depol,40353,0.40353,0.4035309646903531,-3.004520951460337,0.23682761904761904,5.727943899997626
z,7,7,0.04,100000,4114819096,depol,50145,0.50145,0.501449985500145,-2.5286244185044264,0.35971598214285716,9.678915000000416
z,9,9,0.0005,100000,2426455942,depol,0,0.0,4.999950000499995e-06,4.605180185938091,0.008366847222222222,0.4824540999979945
z,9,9,0.001,100000,3517306710,depol,0,0.0,4.999950000499995e-06,5.298327366498037,0.016609666666666665,0.738435399998707
z,9,9,0.002,100000,1773388196,depol,4,4e-05,4.499955000449995e-05,3.794249969721763,0.03266605555555555,1.105823899997631
z,9,9,0.004,100000,2668433794,depol,228,0.00228,0.0022849771502284977,0.559938336723723,0.06308766666666667,2.2757169999968028
z,9,9,0.006,100000,1425889216,depol,1555,0.01555,0.015554844451555484,-0.952612661171545,0.0915186111111111,3.511851999999635
z,9,9,0.008,100000,537673292,depol,5439,0.05439,0.054394456055439445,-1.9168206962432097,0.11807551388888889,5.179512500002602
z,9,9,0.01,100000,1286960784,depol,12375,0.12375,0.12375376246237538,-2.5157087117289363,0.1427663611111111,6.852138700000069
z,9,9,0.02,100000,1879805172,depol,46586,0.46586,0.46586034139658605,-3.1481536190798125,0.24458772222222222,14.453811899998982
z,9,9,0.04,100000,3933764252,depol,50115,0.50115,0.501149988500115,-2.528025980409947,0.368319625,24.208397800000967
z,11,11,0.0005,100000,1194447674,depol,0,0.0,4.999950000499995e-06,4.605180185938091,0.008594977272727273,0.7813674999997602
z,11,11,0.001,100000,635882432,depol,0,0.0,4.999950000499995e-06,5.298327366498037,0.017046151515151514,1.2541918999995687
z,11,11,0.002,100000,1683768587,depol,0,0.0,4.999950000499995e-06,5.991474547057982,0.03354083333333333,2.068564700002753
z,11,11,0.004,100000,1818387298,depol,119,0.00119,0.0011949880501194987,1.208158175686417,0.06479768181818182,4.051823899997544
