basis,distance,rounds,physical_error_rate,shots,seed,noise_model,logical_error_count,logical_error_rate,logical_error_rate_laplace,log_suppression,syndrome_density,duration_seconds
x,3,3,0.0005,100000,2242528321,meas,4,4e-05,4.499955000449995e-05,2.4079556086018723,0.0064475,0.013457899996865308
x,3,3,0.001,100000,495271503,meas,53,0.00053,0.0005349946500534994,0.6254985320361309,0.01284375,0.015128499999264022
x,3,3,0.002,100000,1804232165,meas,173,0.00173,0.0017349826501734983,0.14214976711112315,0.025315833333333333,0.020378300003358163
x,3,3,0.004,100000,1372163499,meas,735,0.00735,0.007354926450735493,-0.60907599298351,0.04985125,0.032826200000272365
x,3,3,0.006,100000,3272029254,meas,1618,0.01618,0.016184838151618485,-0.9923154182001523,0.073685,0.046529900002497016
x,3,3,0.008,100000,3543373249,meas,2769,0.02769,0.027694723052769474,-1.2418003498552308,0.09583708333333334,0.05962390000058804
x,3,3,0.01,100000,4048040285,meas,4219,0.04219,0.04219457805421946,-1.4397066376658838,0.11676666666666667,0.07674609999958193
x,3,3,0.02,100000,676867124,meas,13968,0.13968,0.13968360316396836,-1.9436476140520191,0.20867375,0.1487264999996114
x,3,3,0.04,100000,2184047444,meas,33368,0.33368,0.33368166318336817,-2.121307980128695,0.33926791666666667,0.28224459999910323
x,5,5,0.0005,100000,2290654248,meas,1,1e-05,1.4999850001499985e-05,3.506567897269982,0.006731916666666666,0.06867809999675956
x,5,5,0.001,100000,4066251697,meas,3,3e-05,3.499965000349997e-05,3.352417217442724,0.013341916666666667,0.0849220999989484
x,5,5,0.002,100000,3183409825,meas,19,0.00019,0.0001949980500194998,2.327912900928336,0.026236333333333334,0.12022349999824655
x,5,5,0.004,100000,3294816137,meas,213,0.00213,0.0021349786502134977,0.6278377143893031,0.05121116666666667,0.19692189999841503
x,5,5,0.006,100000,1789858925,meas,657,0.00657,0.006574934250657493,-0.09150510888577285,0.07541825,0.29658390000258805
x,5,5,0.008,100000,3006327700,meas,1491,0.01491,0.014914850851491485,-0.6229158763368755,0.09808675,0.41892619999998715
x,5,5,0.01,100000,2573764715,meas,2815,0.02815,0.02815471845281547,-1.0351298657625359,0.12006108333333333,0.5515161999974225
x,5,5,0.02,100000,4069444861,meas,15904,0.15904,0.15904340956590435,-2.07344490754188,0.2144135,1.2754782000010891
x,5,5,0.04,100000,3145882108,meas,42297,0.42297,0.42297077029229707,-2.3584236215809233,0.3449701666666667,2.7284084999992047
x,7,7,0.0005,100000,16066923,meas,0,0.0,4.999950000499995e-06,4.605180185938091,0.006740238095238095,0.2213317999994615
x,7,7,0.001,100000,663676111,meas,0,0.0,4.999950000499995e-06,5.298327366498037,0.013477797619047618,0.24776700000074925
x,7,7,0.002,100000,124494778,meas,7,7e-05,7.499925000749992e-05,3.283424345955772,0.02657863095238095,0.33760760000222945
x,7,7,0.004,100000,1549271333,meas,45,0.00045,0.00045499545004549954,2.1737622211010774,0.05194354166666667,0.6118731999995362
x,7,7,0.006,100000,1039494761,meas,223,0.00223,0.002234977650223498,0.9875282411125231,0.07616413690476191,1.0078743999984
x,7,7,0.008,100000,3425702711,meas,702,0.00702,0.007024929750702493,0.12997632641002685,0.09917642857142857,1.4463945999996213
x,7,7,0.01,100000,558933269,meas,1776,0.01776,0.017764822351776483,-0.5746351365289444,0.12118196428571429,1.7829893000016455
x,7,7,0.02,100000,404050706,meas,17652,0.17652,0.17652323476765233,-2.1777202358984193,0.21621071428571428,4.528371599997627
x,7,7,0.04,100000,1384833774,meas,47294,0.47294,0.47294027059729404,-2.470089648597294,0.3470246130952381,9.270564999998896
x,9,9,0.0005,100000,850524281,meas,0,0.0,4.999950000499995e-06,4.605180185938091,0.006827444444444444,0.4140012000025308
x,9,9,0.001,100000,2792014095,meas,0,0.0,4.999950000499995e-06,5.298327366498037,0.013535277777777778,0.49788880000050995
x,9,9,0.002,100000,7683322,meas,0,0.0,4.999950000499995e-06,5.991474547057982,0.02670884722222222,0.7874092000020028
x,9,9,0.004,100000,1681290911,meas,4,4e-05,4.499955000449995e-05,4.4873971502817085,0.052231263888888886,1.6487231999999494
x,9,9,0.006,100000,3134479967,meas,68,0.00068,0.0006849931500684994,2.170105909897967,0.07658593055555556,2.122263600002043
x,9,9,0.008,100000,2309300892,meas,359,0.00359,0.0035949640503594965,0.7999075504568262,0.0996727361111111,3.1137417999998434
x,9,9,0.01,100000,4174209654,meas,1031,0.01031,0.01031489685103149,-0.031004053579169206,0.12183386111111111,3.9683283000013034
x,9,9,0.02,100000,1404738890,meas,19279,0.19279,0.19279307206927931,-2.2658851747262134,0.21722679166666667,11.48133450000023
x,9,9,0.04,100000,1545396552,meas,49219,0.49219,0.492190078099219,-2.5099855253692556,0.3481419722222222,25.326530099999218
x,11,11,0.0005,100000,1454044040,meas,0,0.0,4.999950000499995e-06,4.605180185938091,0.006833507575757576,1.0260883000009926
x,11,11,0.001,100000,2149710408,meas,0,0.0,4.999950000499995e-06,5.298327366498037,0.013580477272727274,1.1589925000007497
x,11,11,0.002,100000,2369999067,meas,0,0.0,4.999950000499995e-06,5.991474547057982,0.026867045454545456,1.5202124999996158
x,11,11,0.004,100000,843433893,meas,2,2e-05,2.4999750002499974e-05,5.075183815183827,0.05243752272727273,2.941053999998985
x,11,11,0.006,100000,1216906984,meas,29,0.00029,0.0002949970500294997,3.0125493918203725,0.07682235606060606,4.775971299997764
x,11,11,0.008,100000,740225848,meas,135,0.00135,0.0013549864501354986,1.775650087298172,0.10006756818181818,6.51100679999945
x,11,11,0.01,100000,1126173699,meas,585,0.00585,0.005854941450585494,0.5352990958943654,0.12218328787878788,8.58067630000005
x,11,11,0.02,100000,2593284575,meas,20857,0.20857,0.20857291427085728,-2.344556415284147,0.21779162878787878,23.743507499999396
x,11,11,0.04,100000,2111197554,meas,49943,0.49943,0.499430005699943,-2.5245880054268817,0.3488315909090909,52.19342269999834
z,3,3,0.0005,100000,1886897332,meas,17,0.00017,0.00017499825001749983,1.0498321244486781,0.006476666666666667,0.015727399997558678
z,3,3,0.001,100000,1744072639,meas,45,0.00045,0.00045499545004549954,0.787467859981187,0.0127,0.015287300000636606
z,3,3,0.002,100000,3907550528,meas,165,0.00165,0.0016549834501654983,0.1893561716809195,0.025336666666666667,0.021938599998975405
z,3,3,0.004,100000,2390280188,meas,688,0.00688,0.006884931150688493,-0.5430407711107271,0.04946125,0.040021799999522045
z,3,3,0.006,100000,1944486401,meas,1609,0.01609,0.016094839051609484,-0.9867391955727162,0.07250583333333334,0.04880059999777586
z,3,3,0.008,100000,2397061740,meas,2766,0.02766,0.02766472335276647,-1.240716534720237,0.09453375,0.06206459999884828
z,3,3,0.01,100000,2994019990,meas,4243,0.04243,0.04243457565424346,-1.4453784004775942,0.11629458333333334,0.07697709999774816
z,3,3,0.02,100000,2837315107,meas,13733,0.13733,0.13733362666373336,-1.9266809230261157,0.20858541666666666,0.18537979999746312
z,3,3,0.04,100000,3050978567,meas,33312,0.33312,0.3331216687833122,-2.1196283408561722,0.3383158333333333,0.36175639999783016
z,5,5,0.0005,100000,2474654267,meas,2,2e-05,2.4999750002499974e-05,2.9957422735039914,0.006664916666666667,0.0880749999996624
z,5,5,0.001,100000,1401665718,meas,3,3e-05,3.499965000349997e-05,3.352417217442724,0.013259083333333333,0.10552219999954104
z,5,5,0.002,100000,3828508885,meas,19,0.00019,0.0001949980500194998,2.327912900928336,0.0261565,0.17990280000230996
z,5,5,0.004,100000,732114155,meas,202,0.00202,0.002024979750202498,0.6807346605113886,0.05095591666666666,0.2978266000027361
z,5,5,0.006,100000,2977777356,meas,655,0.00655,0.006554934450655493,-0.08845864803760775,0.07479016666666667,0.4327813000018068
z,5,5,0.008,100000,4266588054,meas,1446,0.01446,0.014464855351446485,-0.5922803967982622,0.09774816666666666,0.5669521999989229
z,5,5,0.01,100000,3124302508,meas,2819,0.02819,0.02819471805281947,-1.0365495643150993,0.11978216666666666,0.5936795999987226
z,5,5,0.02,100000,3892308065,meas,15617,0.15617,0.15617343826561733,-2.0552348998756425,0.213771,1.2625129999978526
