basis,distance,rounds,physical_error_rate,shots,seed,geom,logical_error_count,logical_error_rate,logical_error_rate_laplace,log_suppression,syndrome_density,num_detectors,num_qubits,duration_seconds
x,13,13,0.0005,100000,2121493506,rotated,0,0.0,4.999950000499995e-06,4.605180185938091,0.008832174908424908,2184,376,1.270026999998663
x,13,13,0.001,100000,3944943387,rotated,0,0.0,4.999950000499995e-06,5.298327366498037,0.017492527472527473,2184,376,2.037382099995739
x,13,13,0.002,100000,3163462117,rotated,1,1e-05,1.4999850001499985e-05,4.892862258389872,0.03434146978021978,2184,376,4.158002900003339
x,13,13,0.004,100000,2710135340,rotated,103,0.00103,0.0010349896501034989,1.3519029343525586,0.0663267902930403,2184,376,9.190352700003132
x,13,13,0.006,100000,3216475578,rotated,1491,0.01491,0.014914850851491485,-0.9105979487886565,0.09616162545787546,2184,376,15.758151800000633
x,13,13,0.008,100000,1670214606,rotated,8259,0.08259,0.08259417405825942,-2.3344976043772676,0.12390649725274726,2184,376,21.49138469999889
x,13,13,0.01,100000,1810636518,rotated,22390,0.2239,0.22390276097239029,-3.108626761809267,0.14974088827838827,2184,376,30.05903390000458
x,13,13,0.02,100000,2106952308,rotated,49990,0.4999,0.49990000099999,-3.218675806865914,0.2546751465201465,2184,376,74.65020740000182
x,13,13,0.04,100000,2572528868,rotated,49981,0.49981,0.499810001899981,-2.5253485758913663,0.3793696749084249,2184,376,114.97173029999976
x,15,15,0.0005,100000,3230783435,rotated,0,0.0,4.999950000499995e-06,4.605180185938091,0.008938425595238095,3360,494,2.5812689999947906
x,15,15,0.001,100000,791273766,rotated,0,0.0,4.999950000499995e-06,5.298327366498037,0.017714342261904763,3360,494,3.9430710000015097
x,15,15,0.002,100000,4228284196,rotated,0,0.0,4.999950000499995e-06,5.991474547057982,0.03481140476190476,3360,494,7.435177300001669
x,15,15,0.004,100000,1709531308,rotated,48,0.00048,0.0004849951500484995,2.109910749114545,0.06719080357142856,3360,494,15.3757101999945
x,15,15,0.006,100000,3294422727,rotated,1349,0.01349,0.013494865051349487,-0.8105497772919127,0.09736563988095238,3360,494,26.206853100004082
x,15,15,0.008,100000,2339466831,rotated,9158,0.09158,0.0915840841591584,-2.437815961182344,0.1254087767857143,3360,494,42.07657089999702
x,15,15,0.01,100000,1028633879,rotated,25901,0.25901,0.25901240987590124,-3.2542908821363947,0.15152321726190476,3360,494,64.1685679000002
x,15,15,0.02,100000,300205092,rotated,49993,0.49993,0.499930000699993,-3.218735816467468,0.25726911011904763,3360,494,134.75925159999315
x,15,15,0.04,100000,3588000012,rotated,50047,0.50047,0.500469995300047,-2.526668193393843,0.38209244642857143,3360,494,223.10860900000262
z,13,13,0.0005,100000,1619371652,rotated,0,0.0,4.999950000499995e-06,4.605180185938091,0.008761758241758242,2184,376,1.9410090999954264
z,13,13,0.001,100000,3280444849,rotated,0,0.0,4.999950000499995e-06,5.298327366498037,0.01737510531135531,2184,376,3.5940078999992693
z,13,13,0.002,100000,1657812645,rotated,0,0.0,4.999950000499995e-06,5.991474547057982,0.03415865842490842,2184,376,4.885197700001299
z,13,13,0.004,100000,2459398768,rotated,75,0.00075,0.0007549924500754992,1.6673418908030033,0.06599324175824176,2184,376,10.93754409999383
z,13,13,0.006,100000,1867355137,rotated,969,0.00969,0.00969490305096949,-0.4798408195165598,0.09568809523809524,2184,376,17.611423599999398
z,13,13,0.008,100000,1419695712,rotated,5715,0.05715,0.057154428455715445,-1.9663153338479056,0.12327059981684982,2184,376,25.949769699996978
z,13,13,0.01,100000,602641919,rotated,16638,0.16638,0.16638333616663833,-2.8117092871490574,0.14901579212454213,2184,376,35.56319470000017
z,13,13,0.02,100000,3432844680,rotated,49894,0.49894,0.498940010599894,-3.216753595731926,0.25342664835164835,2184,376,73.53639400000247
z,13,13,0.04,100000,1576471164,rotated,50131,0.50131,0.501309986900131,-2.5283451919601347,0.37791886904761907,2184,376,127.73589139999967
z,15,15,0.0005,100000,2173712501,rotated,0,0.0,4.999950000499995e-06,4.605180185938091,0.008889488095238094,3360,494,2.6708302999977604
z,15,15,0.001,100000,220566264,rotated,0,0.0,4.999950000499995e-06,5.298327366498037,0.017635979166666666,3360,494,4.762807600003725
z,15,15,0.002,100000,2764500328,rotated,0,0.0,4.999950000499995e-06,5.991474547057982,0.034671473214285715,3360,494,6.756664200001978
z,15,15,0.004,100000,2724236702,rotated,30,0.0003,0.00030499695003049967,2.5737478634446167,0.06692375892857143,3360,494,15.653377299997373
z,15,15,0.006,100000,3866564704,rotated,767,0.00767,0.007674923250767492,-0.24619882429520545,0.09690049404761905,3360,494,25.64143899999908
z,15,15,0.008,100000,41023848,rotated,5641,0.05641,0.056414435855641445,-1.9532835389605732,0.12481240773809524,3360,494,36.41567330000544
z,15,15,0.01,100000,3593598784,rotated,18781,0.18781,0.18781312186878132,-2.9328623428449747,0.1508290476190476,3360,494,52.56846840000071
z,15,15,0.02,100000,2227934750,rotated,49943,0.49943,0.499430005699943,-3.2177351859868266,0.2561902142857143,3360,494,111.0474838999944
z,15,15,0.04,100000,1198149996,rotated,50207,0.50207,0.502069979300207,-2.529860056858805,0.38083972916666664,3360,494,142.95188900000358
