basis,distance,rounds,physical_error_rate,shots,seed,geom,logical_error_count,logical_error_rate,logical_error_rate_laplace,log_suppression,syndrome_density,num_detectors,num_qubits,duration_seconds
x,3,3,0.0005,100000,2513705728,unrotated,24,0.00024,0.00024499755002449974,0.7133598878274652,0.007304444444444444,36,25,0.036999600000854116
x,3,3,0.001,100000,2070907002,unrotated,98,0.00098,0.000984990150098499,0.01512363776004863,0.014253333333333333,36,25,0.0319363999988127
x,3,3,0.002,100000,1905309503,unrotated,342,0.00342,0.0034249657503424968,-0.5379442912042429,0.028267777777777777,36,25,0.048603300001559546
x,3,3,0.004,100000,778178927,unrotated,1389,0.01389,0.013894861051389486,-1.2452247021245761,0.05478416666666667,36,25,0.08597290000034263
x,3,3,0.006,100000,3115476592,unrotated,2984,0.02984,0.02984470155298447,-1.6042478524425579,0.08001027777777778,36,25,0.16821020000134013
x,3,3,0.008,100000,3884919777,unrotated,4946,0.04946,0.04946450535494645,-1.8218138071453498,0.10324083333333334,36,25,0.16891560000294703
x,3,3,0.01,100000,938705313,unrotated,7063,0.07063,0.07063429365706343,-1.9549306794195815,0.12555222222222223,36,25,0.24881190000087372
x,3,3,0.02,100000,2970135912,unrotated,20730,0.2073,0.2073029269707303,-2.3384488652802506,0.22010527777777777,36,25,0.4590127000010398
x,3,3,0.04,100000,3520960510,unrotated,40332,0.40332,0.4033209667903321,-2.310853234488271,0.3428772222222222,36,25,0.8597359000013967
x,5,5,0.0005,100000,1028326465,unrotated,1,1e-05,1.4999850001499985e-05,3.506567897269982,0.0081253,200,81,0.21563820000301348
x,5,5,0.001,100000,2030381363,unrotated,8,8e-05,8.499915000849992e-05,2.4651140224418207,0.0162211,200,81,0.30598899999677087
x,5,5,0.002,100000,2938947165,unrotated,64,0.00064,0.0006449935500644993,1.1316621426963103,0.0319246,200,81,0.4190725999978895
x,5,5,0.004,100000,3603023757,unrotated,590,0.0059,0.005904940950590494,-0.38949508857943477,0.0619752,200,81,0.7989191000015126
x,5,5,0.006,100000,4137500459,unrotated,2044,0.02044,0.020444795552044478,-1.2259688846385504,0.08997635,200,81,1.2059148000007553
x,5,5,0.008,100000,2889150155,unrotated,5059,0.05059,0.05059449405505945,-1.844401215551887,0.11625645,200,81,1.690404100001615
x,5,5,0.01,100000,763006602,unrotated,9164,0.09164,0.09164408355916441,-2.215327324479765,0.1407545,200,81,2.1239910000003874
x,5,5,0.02,100000,390869119,unrotated,35307,0.35307,0.35307146928530714,-2.870938225451136,0.24192235,200,81,4.0606082000012975
x,5,5,0.04,100000,398564880,unrotated,49341,0.49341,0.493410065899341,-2.5124611508663315,0.36694505,200,81,5.877619299997605
x,7,7,0.0005,100000,1990201651,unrotated,0,0.0,4.999950000499995e-06,4.605180185938091,0.008595289115646259,588,169,0.4191372000022966
x,7,7,0.001,100000,4116959821,unrotated,2,2e-05,2.4999750002499974e-05,3.6888894540639368,0.01709845238095238,588,169,0.5206002000013541
x,7,7,0.002,100000,1421604779,unrotated,6,6e-05,6.499935000649993e-05,3.4265251895964455,0.033623265306122446,588,169,0.8970527999990736
x,7,7,0.004,100000,122230057,unrotated,256,0.00256,0.0025649743502564972,0.4443458824471581,0.06505006802721089,588,169,2.055287600000156
x,7,7,0.006,100000,2100371713,unrotated,1617,0.01617,0.016174838251617484,-0.9916973712089089,0.09425319727891157,588,169,2.7313727000000654
x,7,7,0.008,100000,3343165563,unrotated,5284,0.05284,0.05284447155528445,-1.8879115588314745,0.12168258503401361,588,169,4.2098765000009735
x,7,7,0.01,100000,256401574,unrotated,11778,0.11778,0.11778382216177838,-2.466265835700524,0.14723384353741498,588,169,5.910884400000214
x,7,7,0.02,100000,3792475265,unrotated,45592,0.45592,0.455920440795592,-3.1265860487989046,0.25134590136054424,588,169,13.104286599998886
x,7,7,0.04,100000,3171880957,unrotated,49922,0.49922,0.499220007799922,-2.5241674418655187,0.37689921768707485,588,169,21.10900279999987
x,9,9,0.0005,100000,3622225876,unrotated,0,0.0,4.999950000499995e-06,4.605180185938091,0.008849621913580246,1296,289,0.8245052999991458
x,9,9,0.001,100000,3664202761,unrotated,0,0.0,4.999950000499995e-06,5.298327366498037,0.017565979938271605,1296,289,1.103564599998208
x,9,9,0.002,100000,2086182904,unrotated,2,2e-05,2.4999750002499974e-05,4.382036634623882,0.0346149537037037,1296,289,1.749994699999661
x,9,9,0.004,100000,2392107699,unrotated,105,0.00105,0.001054989450105499,1.3327635941418612,0.06678220679012346,1296,289,3.7369728999983636
x,9,9,0.006,100000,717639006,unrotated,1290,0.0129,0.012904870951290488,-0.7658453639925219,0.09696008487654321,1296,289,6.069591399998899
x,9,9,0.008,100000,3597222968,unrotated,5765,0.05765,0.05765442345576544,-1.9750254315932434,0.1248604012345679,1296,289,9.578455800001393
x,9,9,0.01,100000,1733320133,unrotated,15087,0.15087,0.15087349126508734,-2.7138565864736495,0.15075063271604938,1296,289,13.668374499997299
x,9,9,0.02,100000,627871868,unrotated,49324,0.49324,0.493240067599324,-3.2052637344999146,0.25656779320987655,1296,289,30.234761300001992
x,9,9,0.04,100000,1874719070,unrotated,49877,0.49877,0.498770012299877,-2.5232656381971883,0.38210596450617285,1296,289,48.70096800000101
z,3,3,0.0005,100000,2329853081,unrotated,31,0.00031,0.0003149968500314997,0.4620454595465591,0.006951944444444445,36,25,0.02315180000005057
z,3,3,0.001,100000,1585134190,unrotated,109,0.00109,0.001094989050109499,-0.09074436331846393,0.013645555555555555,36,25,0.02540249999947264
z,3,3,0.002,100000,59285665,unrotated,396,0.00396,0.003964960350396496,-0.6843486745768655,0.0271275,36,25,0.03587600000173552
z,3,3,0.004,100000,177321468,unrotated,1605,0.01605,0.016054839451605483,-1.3897159664715864,0.05293055555555556,36,25,0.056604999997944105
z,3,3,0.006,100000,14961658,unrotated,3488,0.03488,0.03488465115348847,-1.7602874682131446,0.07722916666666667,36,25,0.08079759999964153
z,3,3,0.008,100000,3867829031,unrotated,5584,0.05584,0.05584444155558444,-1.9431284543629537,0.09991277777777778,36,25,0.10582580000118469
z,3,3,0.01,100000,3497132642,unrotated,8276,0.08276,0.08276417235827642,-2.113410173768083,0.12173972222222222,36,25,0.1278810000003432
z,3,3,0.02,100000,4082428843,unrotated,22839,0.22839,0.22839271607283926,-2.435334312619679,0.21309944444444445,36,25,0.2522913000029803
z,3,3,0.04,100000,1911821474,unrotated,42516,0.42516,0.42516074839251605,-2.363587874810776,0.3352063888888889,36,25,0.44913769999766373
z,5,5,0.0005,100000,3230956598,unrotated,1,1e-05,1.4999850001499985e-05,3.506567897269982,0.0080138,200,81,0.11927970000033383
z,5,5,0.001,100000,1341973863,unrotated,9,9e-05,9.499905000949991e-05,2.3538883873315966,0.0160296,200,81,0.16795080000156304
z,5,5,0.002,100000,1351202206,unrotated,81,0.00081,0.0008149918500814992,0.8977243462512201,0.0315515,200,81,0.23717309999847203
z,5,5,0.004,100000,796995480,unrotated,848,0.00848,0.00848491515084849,-0.7519955376162986,0.0608142,200,81,0.4428379000019049
z,5,5,0.006,100000,1024160220,unrotated,2811,0.02811,0.02811471885281147,-1.5445337725661097,0.08833395,200,81,0.6783527999978105
z,5,5,0.008,100000,3571993398,unrotated,6077,0.06077,0.06077439225607744,-2.027726978572351,0.1142393,200,81,0.9316154000007373
z,5,5,0.01,100000,862524388,unrotated,10796,0.10796,0.1079639203607964,-2.379212007582749,0.13838225,200,81,1.2492295999982161
