basis,distance,rounds,physical_error_rate,shots,seed,geom,logical_error_count,logical_error_rate,logical_error_rate_laplace,log_suppression,syndrome_density,num_detectors,num_qubits,duration_seconds
x,3,3,0.004,100000,3070259347,rotated,1285,0.01285,0.012854871451285487,-1.167428479647962,0.0491975,24,26,0.07382670000151847
x,3,3,0.005,100000,2176379206,rotated,1876,0.01876,0.01876481235187648,-1.3225455202028833,0.06021791666666667,24,26,0.07370409999930416
x,3,3,0.0055,100000,1617438214,rotated,2312,0.02312,0.023124768752312477,-1.4361561912100633,0.06578333333333333,24,26,0.08384610000211978
x,3,3,0.006,100000,1717217781,rotated,2675,0.02675,0.026754732452675473,-1.4949519025852125,0.07150958333333333,24,26,0.077834099996835
x,3,3,0.0065,100000,3291846034,rotated,3158,0.03158,0.03158468415315847,-1.580870147499072,0.07696541666666666,24,26,0.06065630000011879
x,3,3,0.007,100000,4045024208,rotated,3555,0.03555,0.03555464445355547,-1.6251606443301676,0.082595,24,26,0.08908110000265879
x,3,3,0.0075,100000,2773676552,rotated,4015,0.04015,0.04015459845401546,-1.6778339451481605,0.08760208333333333,24,26,0.09360839999862947
x,3,3,0.008,100000,3624284027,rotated,4411,0.04411,0.044114558854411456,-1.7073483190442318,0.09277791666666667,24,26,0.11974449999979697
x,3,3,0.009,100000,3439010569,rotated,5429,0.05429,0.05429445705542944,-1.797197564382644,0.10321166666666666,24,26,0.10115009999935864
x,3,3,0.01,100000,2237299041,rotated,6467,0.06467,0.06467435325646743,-1.8667796351280468,0.11373833333333333,24,26,0.1353257000009762
x,5,5,0.004,100000,3192368247,rotated,891,0.00891,0.00891491085089149,-0.8014308902452127,0.05717691666666667,120,64,0.40323710000302526
x,5,5,0.005,100000,3905541291,rotated,1614,0.01614,0.016144838551614485,-1.1721624918261377,0.0705265,120,64,0.5076240000016696
x,5,5,0.0055,100000,1654830172,rotated,2147,0.02147,0.02147478525214748,-1.3621313756818936,0.07673366666666667,120,64,0.561210799998662
x,5,5,0.006,100000,2174291827,rotated,2681,0.02681,0.026814731852681472,-1.4971919632568331,0.08315008333333333,120,64,0.572317900001508
x,5,5,0.0065,100000,1610801853,rotated,3316,0.03316,0.03316466835331647,-1.6296829261259276,0.08945283333333333,120,64,0.6659547999988717
x,5,5,0.007,100000,276411002,rotated,3899,0.03899,0.03899461005389946,-1.7175132837771476,0.09570066666666667,120,64,0.7023973000032129
x,5,5,0.0075,100000,532542506,rotated,4692,0.04692,0.04692453075469245,-1.8336375619803076,0.10154133333333333,120,64,0.7433188000031805
x,5,5,0.008,100000,3255574610,rotated,5736,0.05736,0.05736442635573644,-1.96998281962127,0.10771991666666667,120,64,0.8118006000004243
x,5,5,0.009,100000,3890520418,rotated,7413,0.07413,0.07413425865741342,-2.10865317818377,0.11944458333333334,120,64,0.8568742999996175
x,5,5,0.01,100000,3350285624,rotated,9636,0.09636,0.0963640363596364,-2.265547972206969,0.13100683333333332,120,64,0.9092982000001939
x,7,7,0.004,100000,3497283766,rotated,512,0.00512,0.005124948750512495,-0.24782616395458093,0.06123303571428571,336,118,0.8696549999986019
x,7,7,0.005,100000,2837782695,rotated,1214,0.01214,0.012144878551214489,-0.8874696500700352,0.07538113095238096,336,118,1.0948361000009754
x,7,7,0.0055,100000,3593454864,rotated,1743,0.01743,0.017434825651743483,-1.153721587939189,0.08214410714285714,336,118,1.2800457999983337
x,7,7,0.006,100000,2191195698,rotated,2317,0.02317,0.023174768252317478,-1.3513046422738637,0.0890636011904762,336,118,1.4964904999978899
x,7,7,0.0065,100000,346546136,rotated,3155,0.03155,0.03155468445315547,-1.579919878184611,0.09544904761904761,336,118,1.4268522999991546
x,7,7,0.007,100000,3571477185,rotated,4131,0.04131,0.04131458685413146,-1.775305481147834,0.1021486011904762,336,118,1.6458672000007937
x,7,7,0.0075,100000,1077184156,rotated,5327,0.05327,0.053274467255327446,-1.9605541574924157,0.10856877976190477,336,118,1.9443382000026759
x,7,7,0.008,100000,3831261375,rotated,6315,0.06315,0.06315436845631543,-2.0661404805961023,0.11487839285714285,336,118,1.7885611999990942
x,7,7,0.009,100000,1136403743,rotated,9231,0.09231,0.0923140768592314,-2.3279720645614868,0.12720863095238094,336,118,2.573801900001854
x,7,7,0.01,100000,757017448,rotated,12293,0.12293,0.12293377066229337,-2.509060667462112,0.13921514880952382,336,118,2.679602399999567
z,3,3,0.004,100000,2150927046,rotated,1157,0.01157,0.011574884251157488,-1.0625432389024068,0.04723666666666667,24,26,0.048741999999037944
z,3,3,0.005,100000,3880898348,rotated,1701,0.01701,0.017014829851701482,-1.2246473955687682,0.05856375,24,26,0.05652639999971143
